days;total_demand;total_production;total_wip;total_enditem;time;invlevel;mtlevel
1;9;9;0;0;70;inv(low);mt(low)
2;11;11;1.2;0;51.63934426;inv(low);mt(low)
3;12;12;1.8;0;50;inv(low);mt(low)
4;10;11.4;3;1.4;50;inv(low);mt(low)
5;12;12.6;3;2;50;inv(low);mt(low)
6;13;12.6;3;1.6;50;inv(low);mt(low)
7;13;12.6;3;1.2;50;inv(low);mt(low)
8;13;12.6;3;0.8;50;inv(low);mt(low)
9;14;13.2;2.4;0;50;inv(low);mt(low)
10;15;15;0;0;50;inv(low);mt(low)
1;9;9;0;0;70;inv(med);mt(low)
2;11;11;1.2;0;51.63934426;inv(med);mt(low)
3;12;12;1.8;0;50;inv(med);mt(low)
4;10;10;4.4;0;50;inv(med);mt(low)
5;12;12;5;0;50;inv(med);mt(low)
6;13;13;4.6;0;50;inv(med);mt(low)
7;13;13;4.2;0;50;inv(med);mt(low)
8;13;13;3.8;0;50;inv(med);mt(low)
9;14;14;2.4;0;50;inv(med);mt(low)
10;15;15;0;0;50;inv(med);mt(low)
1;9;9;0;0;70;inv(high);mt(low)
2;11;11;1.2;0;51.63934426;inv(high);mt(low)
3;12;12;1.8;0;50;inv(high);mt(low)
4;10;10;4.4;0;50;inv(high);mt(low)
5;12;12;5;0;50;inv(high);mt(low)
6;13;13;4.6;0;50;inv(high);mt(low)
7;13;13;4.2;0;50;inv(high);mt(low)
8;13;13;3.8;0;50;inv(high);mt(low)
9;14;14;2.4;0;50;inv(high);mt(low)
10;15;15;0;0;50;inv(high);mt(low)
1;9;9;0;0;80;inv(low);mt(med)
2;11;11;0;0;65.45454545;inv(low);mt(med)
3;12;12;0;0;60;inv(low);mt(med)
4;10;10;0;0;72;inv(low);mt(med)
5;12;12;0;0;60;inv(low);mt(med)
6;13;13;0;0;55.38461538;inv(low);mt(med)
7;13;13;0;0;55.38461538;inv(low);mt(med)
8;13;13;0.2;0;54.54545455;inv(low);mt(med)
9;14;14;0.6;0;50;inv(low);mt(med)
10;15;15;0;0;50;inv(low);mt(med)
1;9;9;0;0;80;inv(med);mt(med)
2;11;11;0;0;65.45454545;inv(med);mt(med)
3;12;12;0;0;60;inv(med);mt(med)
4;10;10;0;0;72;inv(med);mt(med)
5;12;12;0;0;60;inv(med);mt(med)
6;13;13;0;0;55.38461538;inv(med);mt(med)
7;13;13;0;0;55.38461538;inv(med);mt(med)
8;13;13;0.2;0;54.54545455;inv(med);mt(med)
9;14;14;0.6;0;50;inv(med);mt(med)
10;15;15;0;0;50;inv(med);mt(med)
1;9;9;0;0;80;inv(high);mt(med)
2;11;11;0;0;65.45454545;inv(high);mt(med)
3;12;12;0;0;60;inv(high);mt(med)
4;10;10;0;0;72;inv(high);mt(med)
5;12;12;0;0;60;inv(high);mt(med)
6;13;13;0;0;55.38461538;inv(high);mt(med)
7;13;13;0;0;55.38461538;inv(high);mt(med)
8;13;13;0.2;0;54.54545455;inv(high);mt(med)
9;14;14;0.6;0;50;inv(high);mt(med)
10;15;15;0;0;50;inv(high);mt(med)
1;9;9;0;0;80;inv(low);mt(high)
2;11;11;0;0;73.63636364;inv(low);mt(high)
3;12;12;0;0;67.5;inv(low);mt(high)
4;10;10;0;0;80;inv(low);mt(high)
5;12;12;0;0;67.5;inv(low);mt(high)
6;13;13;0;0;62.30769231;inv(low);mt(high)
7;13;13;0;0;62.30769231;inv(low);mt(high)
8;13;13;0;0;62.30769231;inv(low);mt(high)
9;14;14;0;0;57.85714286;inv(low);mt(high)
10;15;15;0;0;54;inv(low);mt(high)
1;9;9;0;0;80;inv(med);mt(high)
2;11;11;0;0;73.63636364;inv(med);mt(high)
3;12;12;0;0;67.5;inv(med);mt(high)
4;10;10;0;0;80;inv(med);mt(high)
5;12;12;0;0;67.5;inv(med);mt(high)
6;13;13;0;0;62.30769231;inv(med);mt(high)
7;13;13;0;0;62.30769231;inv(med);mt(high)
8;13;13;0;0;62.30769231;inv(med);mt(high)
9;14;14;0;0;57.85714286;inv(med);mt(high)
10;15;15;0;0;54;inv(med);mt(high)
1;9;9;0;0;80;inv(high);mt(high)
2;11;11;0;0;73.63636364;inv(high);mt(high)
3;12;12;0;0;67.5;inv(high);mt(high)
4;10;10;0;0;80;inv(high);mt(high)
5;12;12;0;0;67.5;inv(high);mt(high)
6;13;13;0;0;62.30769231;inv(high);mt(high)
7;13;13;0;0;62.30769231;inv(high);mt(high)
8;13;13;0;0;62.30769231;inv(high);mt(high)
9;14;14;0;0;57.85714286;inv(high);mt(high)
10;15;15;0;0;54;inv(high);mt(high)
